latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,rcvr_clk_ns
37.25448231944444,119.45272684444443,2.2602,4.00833,260,2023,-88.484
37.25448684444444,119.45274683333334,5.7808,4.01667,260,2023,-87.899
37.25449035,119.45274879722223,5.967,4.02500,260,2023,-87.432
37.25449225277779,119.4527483138889,5.8641,4.03333,260,2023,-86.303
37.25449289444445,119.45275180833333,6.1571,4.04167,260,2023,-87.037
37.254497549999996,119.45275147777782,6.7031,4.05000,260,2023,-88.855
37.25449914166666,119.45275223611112,6.0532,4.05833,260,2023,-88.050
37.254500811111114,119.45275228888887,5.9285,4.06667,260,2023,-87.818
37.254501894444445,119.4527499027778,5.9927,4.07500,260,2023,-86.116
37.2545030638889,119.45274915555555,4.9624,4.08333,260,2023,-85.801
37.254503605555556,119.45274840555557,4.6696,4.09167,260,2023,-85.546
37.254503319444446,119.45274934722222,4.3606,4.10000,260,2023,-84.722
37.25450210000001,119.45275035,4.324,4.10833,260,2023,-84.562
37.25450143888889,119.45275131388891,3.4051,4.11667,260,2023,-85.148
37.25450205555556,119.45275164722223,3.4985,4.12500,260,2023,-86.260
37.25450276944444,119.45274948055555,3.3494,4.13333,260,2023,-85.769
37.25450275277777,119.45275008055557,3.3927,4.14167,260,2023,-85.666
37.25450249166666,119.45274944166665,2.9426,4.15000,260,2023,-87.627
37.25450377777778,119.45274919166667,2.3425,4.15833,260,2023,-94.785
37.25450369166666,119.45274894166667,2.4597,4.16667,260,2023,-85.301
37.254503883333335,119.45274944722223,2.5304,4.17500,260,2023,-84.825
37.25450581944444,119.45275209444446,2.6503,4.18333,260,2023,-80.880
37.25450507222222,119.45274803611112,2.6261,4.19167,260,2023,-84.526
37.25450654722221,119.45274822777778,2.4803,4.22500,260,2023,-115.290
37.25450428611111,119.452750275,2.3252,4.23333,260,2023,15.377
37.254504505555566,119.45275030555557,2.5301,4.25000,260,2023,42.637
37.25450795555555,119.45274587222224,2.7015,4.25833,260,2023,-96.459
37.25450821388889,119.4527453,2.6154,4.27500,260,2023,-106.637
37.25450834166666,119.45274502222223,2.4991,4.28333,260,2023,-97.091
37.25450593888889,119.45274173055556,2.4255,4.29167,260,2023,-77.772
37.25450611666667,119.452741625,2.353,4.32500,260,2023,-186.215
37.25450431388889,119.45274253333334,2.2075,4.33333,260,2023,-58.038
37.254505558333335,119.45274058055558,2.1672,4.35000,260,2023,-193.539
37.25450434166667,119.45274010277778,2.2015,4.35833,260,2023,-91.549
37.25450275000001,119.4527413388889,2.18,4.39167,260,2023,26.343
37.25450345,119.45274222500004,2.1118,4.40000,260,2023,-107.508
37.25450344444445,119.45274094444444,1.9465,4.43333,260,2023,-158.963
37.25450554722223,119.45273814722222,1.9711,4.44167,260,2023,-87.794
37.25450537222222,119.45273783611113,1.9255,4.45000,260,2023,-10.344
37.254505375,119.45273830000001,2.1263,4.46667,260,2023,-20.009
37.254508647222224,119.45273594444446,2.355,4.47500,260,2023,-98.654
37.254509213888895,119.45273573611111,2.3957,4.50000,260,2023,-176.104
37.25450946111111,119.45273695555555,2.5808,4.50833,260,2023,-100.977
37.25450950555555,119.45273729444447,2.7774,4.51667,260,2023,-27.247
37.25450959722223,119.45273829722224,2.944,4.53333,260,2023,46.174
37.254509433333325,119.45273903888888,3.1315,4.55000,260,2023,-93.202
37.254509125,119.45274056388887,3.2432,4.55833,260,2023,-169.377
37.254510883333346,119.45274000277779,3.351,4.56667,260,2023,4.698
37.254510883333346,119.45274000277779,3.351,5.00000,260,2023,0.000
37.254510883333346,119.45274000277779,3.351,5.00000,260,2023,0.000
